part_id,description,variant,member,quantity,unit,unit_cost_usd,extended_cost_usd,critical,notes
BODY-WALNUT-SIDE-S,"Black walnut side panel, 4/4, S2S",V1+V2+V3+V4,Standard,2,each,28.00,56.00,Y,"18 x 12 x 0.75 in; mill to ±0.005"" before joinery"
BODY-WALNUT-TOP-S,"Black walnut top panel (seat), 4/4, S2S",V1+V2+V3+V4,Standard,1,each,22.00,22.00,Y,"12 x 12 x 0.75 in"
BODY-WALNUT-BOTTOM-S,"Black walnut bottom panel, 4/4, S2S",V1+V2+V3+V4,Standard,1,each,22.00,22.00,Y,"12 x 12 x 0.75 in"
BODY-WALNUT-SIDE-C,"Black walnut side panel (Compact)",V1+V2+V3+V4,Compact,2,each,22.00,44.00,Y,"15 x 11 x 0.625 in"
BODY-WALNUT-SIDE-B,"Black walnut side panel (Bass)",V1+V2+V3+V4,Bass,2,each,38.00,76.00,Y,"22 x 14 x 0.75 in"
BACK-PLY-S,"1/2 in Baltic birch back panel",V1+V2+V3+V4,Standard,1,each,12.00,12.00,Y,"18 x 12 x 0.5 in; sound-hole routed before assembly"
BACK-PLY-C,"1/2 in Baltic birch back panel (Compact)",V1+V2+V3+V4,Compact,1,each,9.00,9.00,Y,"15 x 11 x 0.5 in"
BACK-PLY-B,"1/2 in Baltic birch back panel (Bass)",V1+V2+V3+V4,Bass,1,each,16.00,16.00,Y,"22 x 14 x 0.5 in"
TAPA-PLY-S,"Baltic birch 3 mm tapa face",V1+V2+V3+V4,Standard,1,each,8.00,8.00,Y,"18 x 12 x 0.118 in (3 mm); MUST be 3-ply or 5-ply marine grade"
TAPA-PLY-C,"Baltic birch 3 mm tapa face (Compact)",V1+V2+V3+V4,Compact,1,each,7.00,7.00,Y,"15 x 11 x 0.118 in"
TAPA-PLY-B,"Baltic birch 3 mm tapa face (Bass)",V1+V2+V3+V4,Bass,1,each,10.00,10.00,Y,"22 x 14 x 0.118 in"
INLAY-MAPLE,"Hard maple inlay blank, 4/4, S2S",V1+V2+V3+V4,All,1,BdFt,12.00,12.00,N,"For CNC inlay primary wood; ~6 BdFt per family if all 3 sides inlaid"
INLAY-YELLOWHEART,"Yellowheart inlay blank, 4/4",V1+V2+V3+V4,All,1,BdFt,18.00,18.00,N,"Accent contrast"
INLAY-CHERRY,"Cherry inlay blank, 4/4",V1+V2+V3+V4,All,1,BdFt,9.00,9.00,N,"Accent contrast"
GLUE-BLOCK-WALNUT,"Walnut triangular glue block",V1+V2+V3+V4,All,8,each,0.50,4.00,Y,"3/4 in stock; ripped 1 in x 1 in x panel-height triangle; 8 per box"
JOINT-V4-SPLINE,"Maple spline stock, 1/8 in",V4,All,4,each,2.50,10.00,Y,"For miter+spline corners; contrasting wood"
SNARE-GUITAR-STR,"Guitar strings (steel, set of 6)",V1+V2+V3+V4,All,1,set,9.00,9.00,Y,"Use 3-4 strings; D'Addario or equivalent; .009 to .020 gauge mix"
SNARE-TUNERS,"Guitar tuner pegs, 3+3 set",V1+V2+V3+V4,All,3,each,4.50,13.50,Y,"For adjustable snare; or use single-action tuner block"
SNARE-MOUNT-BLOCK,"Maple snare mount block, angled 8-12 deg",V1+V2+V3+V4,All,1,each,3.00,3.00,Y,"Cut in shop from offcut maple"
SNARE-WIRE-ALT,"Snare-drum wires, 13 in (option C alternative)",alt-C,All,1,each,12.00,12.00,N,"OPTIONAL alternative to guitar-string snare"
HW-SCREW-BRASS,"#6 x 3/4 in brass flathead screw, slotted",V1+V2+V3+V4,All,20,each,0.30,6.00,Y,"For tapa attachment; spaced every 3 in around perimeter"
HW-SCREW-DRYWALL,"#6 x 1-1/4 in drywall screw (lug-block alternative)",V1+V2+V3+V4,All,8,each,0.10,0.80,N,"For internal glue-block attachment if not glued"
HW-FOOT-RUBBER,"Self-adhesive rubber foot, 1/2 in tall",V1+V2+V3+V4,All,4,each,0.50,2.00,Y,"Clear or black; under bottom panel for airflow"
GLUE-TITEBOND3,"Titebond III wood glue, 16 oz",V1+V2+V3+V4,All,1,bottle,18.00,18.00,Y,"Waterproof; for body panel glue-up"
FINISH-TUNG,"Tung oil, 16 oz",V1+V2+V3+V4,All,1,bottle,16.00,16.00,Y,"Tapa finish — natural feel, no varnish"
FINISH-POLY,"Satin polyurethane, 1 qt",V1+V2+V3+V4,All,1,can,18.00,18.00,Y,"Body finish — durable seat surface"
ABRASIVE-SET,"Sandpaper set 80-220 grit",V1+V2+V3+V4,All,1,set,15.00,15.00,Y,"Random-orbit + hand sheets"
CNC-BIT-TBN,"Tapered ball-nose bit, 12.4 deg, 1/4 in shank",V1+V2+V3+V4,All,1,each,32.00,32.00,Y,"For inlay pocket + insert; carbide; covers 5+ inlay panels"
CNC-BIT-FINGER,"Straight-flute spiral bit, 1/2 in (V1 finger joint)",V1,Standard,1,each,28.00,28.00,Y,"For finger-joint pockets if CNC route"
CNC-BIT-DOVETAIL,"Half-blind dovetail bit, 14 deg (V2)",V2,Standard,1,each,35.00,35.00,N,"V2 only"
,ESTIMATED TOTAL — Standard prototype V1 finger-joint + snare B (no Bass/Compact panels),,,,,,205.50,,"Walnut + tapa + back + glue-blocks + snare + screws + tuners + glue + finish + abrasives + TBN bit + finger bit"
